alpha,Temperature,Exposure duration,pH,Light,Type,Size,Concentration
1.86923172,27,14,7.4,0,PS,600,20
1.86923172,27,14,7.4,0,PS,600,20
1.86923172,27,14,7.4,0,PE,600,20
1.875061263,27,14,7.4,0,PE,600,20
1.880813592,27,14,7.4,0,PS,600,20
1.892094603,27,14,7.4,0,PS,600,20
1.897627091,27,14,7.4,0,PS,600,20
1.903089987,27,14,7.4,0,PS,600,20
1.903089987,27,14,7.4,0,PE,600,20
1.924279286,27,14,7.4,0,PS,600,20
1.924279286,27,14,7.4,0,PE,600,20
1.934498451,27,14,7.4,0,PE,600,20
1.954242509,27,14,7.4,0,PE,600,20
1.959041392,27,14,7.4,0,PS,600,20
1.959041392,27,14,7.4,0,PE,600,20
1.963787827,27,14,7.4,0,PE,600,20
1.973127854,27,14,7.4,0,PE,600,20
1.995635195,27,14,7.4,0,PS,600,20
2,27,14,7.4,0,PE,600,20
2.100370545,22,60,NA,12,PP,700,10
2.133538908,22,60,NA,12,PP,700,10
2.161368002,22,60,NA,12,PP,700,10
2.178976947,22,60,NA,12,PP,700,10
2.206825876,22,60,NA,12,PP,700,10
2.222716471,22,60,NA,12,PP,700,10
2.240549248,22,60,NA,12,PP,700,10
2.271841607,22,60,NA,12,PP,700,10
2.285557309,22,60,NA,12,PP,700,10
2.294466226,22,60,NA,12,PP,700,10
2.303196057,22,60,NA,12,PP,700,10
2.401400541,22,60,NA,12,PP,700,10
3.193402903,28,7,7.4,NA,PE,750,0.12
2.750508395,28,30,7.4,NA,PE,750,0.12
2.936513742,28,30,7.4,NA,PE,750,0.12
2.976808337,28,30,7.4,NA,PE,750,0.12
2.997823081,28,30,7.4,NA,PE,750,0.12
3.392169149,28,30,7.4,NA,PE,750,0.12
2.534026106,20,28,#N/A,12,PE,775,0.25
2.565847819,20,28,#N/A,12,PE,775,0.25
2.606381365,20,28,#N/A,12,PE,775,0.25
2.607455023,20,28,#N/A,12,PE,775,0.25
2.612783857,20,28,#N/A,12,PE,775,0.25
2.638489257,20,28,#N/A,12,PE,775,0.25
2.738780558,20,28,#N/A,12,PE,775,0.25
1.977723605,28,4,6.2,12,PA,900,0.00002
1.982271233,28,4,6.2,12,PA,900,0.00002
2.012837225,28,4,6.2,12,PA,900,0.00002
1.986771734,30,7,7.4,0,PS,1000,#N/A
1.755874856,30,7,7.4,0,Others,1000,#N/A
2.551449998,16,20,5.5,10,PE,3000,0.7
2.695481676,16,20,5.5,10,PE,3000,0.7
2.700703717,16,20,5.5,10,PE,3000,0.7
2.844477176,16,20,5.5,10,PE,3000,0.7
1.322219295,26,45,7.2,0,PS,50000,0.01
1.477121255,26,45,7.4,0,PS,50000,0.01
1.633468456,26,45,7.4,0,PS,50000,0.01
1.672097858,26,45,7.4,0,PS,50000,0.01
1.785329835,26,45,7.4,0,PS,50000,0.01
1.838849091,26,45,7.2,0,PS,50000,0.01
2.678518379,26,7,7.4,0,PE,90000,0.01
2.710117365,26,7,7.4,0,PE,90000,0.01
1.204119983,17,16,7.2,12,PP,#N/A,#N/A
1.204119983,17,16,7.2,12,PP,#N/A,#N/A
1.380211242,17,16,7.2,12,PP,#N/A,#N/A
4.00008685,32,21,NA,0,PP,#N/A,#N/A
4.087106744,32,21,NA,0,PP,#N/A,#N/A
4.106190897,32,21,7.2,0,PP,#N/A,#N/A
4.115344196,32,21,NA,0,PP,#N/A,#N/A
4.155912689,32,21,NA,0,PP,#N/A,#N/A
4.190835748,32,21,NA,0,PP,#N/A,#N/A
4.200905192,32,21,NA,0,PP,#N/A,#N/A
4.203223325,32,21,NA,0,PP,#N/A,#N/A
0.954242509,12.5,7,7.6,10,PE,#N/A,0.00002
3.051152522,28,7,7.4,NA,PE,#N/A,0.12
3.062581984,28,7,7.4,NA,PE,#N/A,0.12
3.077004327,28,7,7.4,NA,PE,#N/A,0.12
3.02201574,29,14,7.25,NA,PE,#N/A,4
0.954242509,12.5,21,7.6,10,PE,#N/A,0.00002
0.954242509,12.5,21,7.6,10,PE,#N/A,0.00002
3.014520539,28,30,7.4,NA,PE,#N/A,0.12
3.025305865,28,30,7.4,NA,PE,#N/A,0.12
3.641969598,28,35,NA,12,PE,#N/A,0.0002
3.647871765,25,35,NA,12,PS,#N/A,0.0002
3.681241237,25,35,NA,12,PS,#N/A,0.0002
3.682866796,25,35,NA,12,PS,#N/A,0.002
3.638788667,28,35,NA,12,PS,#N/A,0.02
3.681874122,25,35,NA,12,PS,#N/A,0.02
0.954242509,12.5,42,7.6,10,PE,#N/A,0.00002
0.954242509,12.5,42,7.6,10,PE,#N/A,0.00002
0.954242509,12.5,44,7.6,10,PE,#N/A,0.00002
0.954242509,12.5,50,7.6,10,PE,#N/A,0.00002
0.954242509,12.5,50,7.6,10,PE,#N/A,0.002
0.954242509,12.5,50,7.6,10,PE,#N/A,0.002
0.954242509,12.5,56,7.6,10,PE,#N/A,0.00002
1.875061263,25,36,#N/A,0,PET,#N/A,#N/A
1.886490725,25,36,#N/A,0,PET,#N/A,#N/A
1.913813852,25,36,#N/A,0,PET,#N/A,#N/A
2.029383778,25,36,#N/A,0,PET,#N/A,#N/A
2.161368002,25,36,#N/A,0,PET,#N/A,#N/A
2.176091259,25,36,#N/A,0,PET,#N/A,#N/A
2.336459734,25,36,#N/A,0,PET,#N/A,#N/A
2.382017043,25,36,#N/A,0,PET,#N/A,#N/A
2.383815366,25,36,#N/A,0,PET,#N/A,#N/A
1.322219295,25,30,#N/A,16,PS,#N/A,#N/A
1.342422681,25,30,#N/A,16,PS,#N/A,#N/A
1.380211242,25,30,#N/A,16,PS,#N/A,#N/A
1.681241237,25,30,#N/A,16,PS,#N/A,#N/A
